"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
179,"2002","06","05","07","10",3383,"3",3,"AT 201","50","LA","loose split kernel accept","accept",44.6,44.6,0,0,0,0.4,0.4
180,"2002","06","05","07","10",6183,"6",1,"AT 201","50","LA","loose split kernel accept","accept",37.2,37.2,0,0,0,0.2,0.2
181,"2002","06","05","07","10",2173,"2",1,"GA 982508","50","LA","loose split kernel accept","accept",37.3,37.3,0,0,0,0.2,0.2
182,"2002","06","05","07","10",6173,"6",1,"GA 982508","50","LA","loose split kernel accept","accept",32,32,0,0,0,0.3,0.3
183,"2002","06","05","07","10",2273,"2",2,"GA 982508","50","LA","loose split kernel accept","accept",13,13,0,0,0.1,1.3,1.4
184,"2002","06","05","07","10",2283,"2",2,"AT 201","50","LA","loose split kernel accept","accept",40.5,40.5,0.4,1.1,6.1,25.7,33.3
185,"2002","06","05","07","10",3153,"3",1,"GA Green twin","50","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
186,"2002","06","05","07","10",6173,"6",1,"GA 982508","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
187,"2002","06","05","07","10",2163,"2",1,"GA Green diamond","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
188,"2002","06","05","07","10",3263,"3",2,"GA Green diamond","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
189,"2002","06","05","07","10",6153,"6",1,"GA Green twin","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
190,"2002","06","05","07","10",6363,"6",3,"GA Green diamond","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
191,"2002","06","05","07","10",3353,"3",3,"GA Green twin","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
192,"2002","06","05","07","10",2153,"2",1,"GA Green twin","50","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
193,"2002","06","05","07","10",6353,"6",3,"GA Green twin","50","A","whole kernel accept","premium",NA,200.2,0,0,0,0,0
194,"2002","06","05","07","10",3173,"3",1,"GA 982508","50","A","whole kernel accept","premium",NA,200.2,0,0,0,0.1,0.1
195,"2002","06","05","07","10",2363,"2",3,"GA Green diamond","50","A","whole kernel accept","premium",NA,200.2,0,0,0,0.1,0.1
196,"2002","06","05","07","10",6263,"6",2,"GA Green diamond","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0.1,0.1
197,"2002","06","05","07","10",6163,"6",1,"GA Green diamond","50","A","whole kernel accept","premium",NA,199.8,0,0,0,0,0
