"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
148,"06-05-2002","07-10-2002","13-02-2003","3",2,"GA Green diamond","50",3263,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
149,"06-05-2002","07-10-2002","13-02-2003","6",1,"GA Green diamond","50",6163,"LA","loose split kernel accept","accept",35.8,35.8,0,0,0,0.2,0.2
150,"06-05-2002","07-10-2002","13-02-2003","3",1,"GA Green twin","50",3153,"LA","loose split kernel accept","accept",42.3,42.3,0,0,0,0.3,0.3
151,"06-05-2002","07-10-2002","13-02-2003","3",2,"GA Green diamond","50",3263,"LA","loose split kernel accept","accept",37.8,37.8,0,0,0.2,0.9,1.1
152,"06-05-2002","07-10-2002","13-02-2003","6",3,"GA Green diamond","50",6363,"LA","loose split kernel accept","accept",62.6,62.6,0,0,0,0.4,0.4
153,"06-05-2002","07-10-2002","13-02-2003","3",2,"GA Green twin","50",3253,"LA","loose split kernel accept","accept",31.5,31.5,0,0,0.1,1,1.1
154,"06-05-2002","07-10-2002","13-02-2003","2",3,"GA Green diamond","50",2363,"LA","loose split kernel accept","accept",49.5,49.5,0,0,0,0.4,0.4
155,"06-05-2002","07-10-2002","13-02-2003","6",1,"GA Green twin","50",6153,"LA","loose split kernel accept","accept",41.5,41.5,0,0,0,0.5,0.5
156,"06-05-2002","07-10-2002","13-02-2003","3",3,"GA Green twin","50",3353,"LA","loose split kernel accept","accept",42,42,0,0,0,0.2,0.2
157,"06-05-2002","07-10-2002","13-02-2003","6",2,"GA Green twin","50",6253,"LA","loose split kernel accept","accept",38.7,38.7,0,0,0,0.1,0.1
158,"06-05-2002","07-10-2002","13-02-2003","2",1,"GA Green twin","50",2153,"LA","loose split kernel accept","accept",35.1,35.1,0,0,0,0.3,0.3
159,"06-05-2002","07-10-2002","13-02-2003","6",3,"GA Green twin","50",6353,"LA","loose split kernel accept","accept",41.5,41.5,0,0,0,0.2,0.2
160,"06-05-2002","07-10-2002","13-02-2003","2",3,"GA Green twin","50",2353,"LA","loose split kernel accept","accept",22.9,22.9,0,0,0.5,3.7,4.2
161,"06-05-2002","07-10-2002","13-02-2003","6",2,"GA Green diamond","50",6263,"LA","loose split kernel accept","accept",41.9,41.9,0,0,0,0.4,0.4
162,"06-05-2002","07-10-2002","13-02-2003","3",3,"GA Green diamond","50",3363,"LA","loose split kernel accept","accept",60.4,60.4,0,0,0,0.3,0.3
163,"06-05-2002","07-10-2002","13-02-2003","2",2,"GA Green twin","50",2253,"LA","loose split kernel accept","accept",28.1,28.1,0,0,0.2,1.5,1.7
164,"06-05-2002","07-10-2002","13-02-2003","2",1,"GA Green diamond","50",2163,"LA","loose split kernel accept","accept",30.6,30.6,0,0,0,0.7,0.7
165,"06-05-2002","07-10-2002","13-02-2003","2",2,"GA Green diamond","50",2263,"LA","loose split kernel accept","accept",23.2,23.2,0,0,0.3,2.3,2.6
166,"06-05-2002","07-10-2002","13-02-2003","3",1,"GA Green diamond","50",3163,"LA","loose split kernel accept","accept",25,25,0,0,0.2,1.8,2
167,"06-05-2002","07-10-2002","13-02-2003","3",1,"GA 982508","50",3173,"LA","loose split kernel accept","accept",43.8,43.8,0,0,0,0.3,0.3
168,"06-05-2002","07-10-2002","13-02-2003","6",2,"GA 982508","50",6273,"LA","loose split kernel accept","accept",39,39,0,0,0,0.4,0.4
169,"06-05-2002","07-10-2002","13-02-2003","3",2,"AT 201","50",3283,"LA","loose split kernel accept","accept",40.4,40.4,0,0,0,0.4,0.4
170,"06-05-2002","07-10-2002","13-02-2003","3",2,"GA 982508","50",3273,"LA","loose split kernel accept","accept",22.8,22.8,0,0,0.2,1.7,1.9
171,"06-05-2002","07-10-2002","13-02-2003","2",3,"AT 201","50",2383,"LA","loose split kernel accept","accept",25.8,25.8,0,0,0.2,1.6,1.8
